iter	Passed	Remaining
819	176049	253339
820	176370	253277
821	176581	253057
822	176841	252906
823	177079	252724
824	177358	252601
825	177607	252435
826	177823	252221
827	178096	252088
828	178340	251914
829	178684	251880
830	178852	251598
831	179032	251334
832	179224	251085
833	179413	250835
834	179603	250584
835	179896	250477
836	180150	250315
837	180405	250157
838	180597	249908
839	180907	249823
840	181167	249671
841	181406	249488
842	181643	249301
843	181836	249055
844	182068	248862
845	182254	248606
846	182488	248417
847	182713	248214
848	182855	247899
849	183126	247759
850	183371	247583
851	183609	247398
852	183807	247159
853	183989	246899
854	184251	246746
855	184434	246487
856	184685	246318
857	184925	246135
858	185136	245915
859	185413	245780
860	185620	245553
861	185826	245325
862	186019	245080
863	186198	244816
864	186390	244570
865	186630	244386
866	186893	244233
867	187071	243969
868	187260	243719
869	187449	243468
870	187686	243281
871	187888	243048
872	188078	242800
873	188287	242576
874	188476	242327
875	188670	242084
876	188932	241928
877	189144	241708
878	189310	241429
879	189494	241175
880	189657	240892
881	189847	240646
882	190086	240460
883	190271	240206
884	190499	240007
885	190750	239837
886	190966	239623
887	191239	239479
888	191452	239262
889	191655	239031
890	191848	238787
891	192029	238529
892	192332	238423
893	192551	238211
894	192735	237958
895	192942	237732
896	193115	237465
897	193288	237198
898	193743	237277
899	193943	237042
900	194142	236806
901	194335	236563
902	194526	236318
903	194857	236243
904	195137	236105
905	195343	235878
906	195605	235718
907	195855	235544
908	196205	235490
909	196435	235290
910	196633	235053
911	196844	234831
912	197163	234738
913	197371	234514
914	197548	234251
915	197721	233984
916	197893	233717
917	198166	233569
918	198448	233431
919	198637	233183
920	198888	233008
921	199112	232802
922	199287	232538
923	199522	232344
924	199723	232111
925	199916	231868
926	200176	231704
927	200361	231451
928	200674	231347
929	200833	231066
930	201005	230800
931	201197	230556
932	201381	230304
933	201628	230124
934	201899	229970
935	202145	229789
936	202383	229597
937	202605	229388
938	202828	229181
939	203153	229087
940	203348	228848
941	203607	228680
942	203799	228437
943	203996	228199
944	204281	228059
945	204455	227797
946	204646	227553
947	204845	227317
948	204999	227033
949	205185	226783
950	205499	226675
951	205770	226520
952	206007	226327
953	206213	226099
954	206557	226023
955	206767	225800
956	206979	225579
957	207219	225388
958	207476	225216
959	207774	225089
960	207989	224870
961	208150	224594
962	208397	224411
963	208575	224154
964	208885	224038
965	209094	223813
966	209304	223589
967	209553	223408
968	209764	223185
969	210096	223091
970	210326	222889
971	210540	222670
972	210756	222453
973	210947	222209
974	211234	222067
975	211440	221839
976	211679	221646
977	211919	221453
978	212084	221182
979	212371	221039
980	212627	220863
981	212887	220692
982	213168	220541
983	213392	220332
984	213658	220166
985	213835	219907
986	214005	219643
987	214198	219401
988	214452	219222
989	214745	219083
990	214944	218849
991	215119	218588
992	215297	218332
993	215488	218090
994	215724	217892
995	215967	217702
996	216181	217482
997	216391	217258
998	216563	216996
999	216718	216718
1000	216905	216471
1001	217154	216288
1002	217355	216055
1003	217563	215829
1004	217726	215559
1005	217917	215317
1006	218386	215350
1007	218591	215121
1008	218791	214888
1009	219011	214674
1010	219239	214468
1011	219474	214269
1012	219709	214070
1013	219916	213843
1014	220076	213571
1015	220254	213317
1016	220420	213051
1017	220688	212883
1018	220901	212663
1019	221149	212477
1020	221341	212236
1021	221567	212028
1022	221857	211881
1023	222067	211658
1024	222264	211422
1025	222443	211169
1026	222633	210927
1027	222814	210676
1028	223072	210498
1029	223297	210289
1030	223484	210044
1031	223697	209824
1032	223906	209600
1033	224217	209472
1034	224422	209243
1035	224663	209049
1036	224875	208828
1037	225070	208591
1038	225317	208402
1039	225598	208244
1040	225831	208042
1041	226013	207793
1042	226195	207544
1043	226436	207350
1044	226741	207213
1045	226962	207000
1046	227222	206822
1047	227402	206571
1048	227643	206376
1049	227864	206162
1050	228059	205926
1051	228258	205692
