iter	MAPE	RMSE	R2	MAE
230	0.0985945683	239325.554	0.9903098055	114238.141
231	0.09848187677	238785.5366	0.9903534863	113892.6363
232	0.09840064671	238146.783	0.9904050263	113756.4086
233	0.09815824901	237846.1634	0.990429235	113650.6014
234	0.09810561604	237546.2479	0.9904533566	113499.7544
235	0.09806117875	237339.8545	0.9904699387	113413.838
236	0.09801681056	236898.4157	0.9905053565	113152.8449
237	0.09797267007	236766.1164	0.9905159584	113062.5658
238	0.09790405253	236570.2158	0.9905316461	113044.5142
239	0.09772090698	236183.1947	0.9905626006	112734.8938
240	0.09771491699	235881.4668	0.9905866981	112704.7062
241	0.09771768627	235867.0858	0.9905878458	112702.879
242	0.09753756409	235535.062	0.9906143257	112554.6906
243	0.09748813595	235032.8381	0.9906543085	112348.7596
244	0.09717829892	234576.3743	0.9906905743	111905.6074
245	0.09707518007	234157.5438	0.9907237882	111688.2628
246	0.09701550997	233971.4438	0.9907385271	111603.3793
247	0.09688561528	233760.9216	0.9907551861	111398.332
248	0.0967163101	233663.1759	0.9907629159	111326.7618
249	0.09666278624	233428.5422	0.9907814574	111153.6057
250	0.09652588998	233055.1814	0.9908109233	110876.2474
251	0.09653632322	232719.8544	0.9908373474	110793.1771
252	0.0965124042	232480.3334	0.9908561985	110689.8812
253	0.0964163217	232386.1496	0.9908636058	110646.7297
254	0.09636225515	232171.5476	0.9908804724	110599.2424
255	0.09599143188	231938.519	0.9908987696	110176.3683
256	0.09592043849	231743.1621	0.9909140947	110053.5186
257	0.09582691064	231361.6798	0.9909439835	109879.0909
258	0.09583273535	231223.27	0.9909548156	109866.972
259	0.0958315349	231216.1147	0.9909553754	109865.2403
260	0.09579366281	230898.3961	0.9909802151	109707.1181
261	0.09562872075	230762.7599	0.9909908089	109470.1539
262	0.09536422021	230540.5002	0.991008155	109233.8886
263	0.09514205183	230410.8776	0.9910182636	109054.8638
264	0.09496146642	230035.4438	0.9910475096	108761.7563
265	0.0948808282	229707.9371	0.9910729832	108624.3448
266	0.09488574193	229313.1716	0.9911036399	108568.8785
267	0.09483917963	229219.389	0.9911109152	108565.024
268	0.09484254043	229206.7699	0.9911118939	108571.0319
269	0.0947940298	229046.5009	0.9911243192	108539.132
270	0.0946030011	228826.0844	0.9911413936	108308.5007
271	0.09457867408	228530.9416	0.9911642307	108245.754
272	0.0945408908	228406.204	0.9911738736	108186.0221
273	0.09406144148	228080.6985	0.9911990122	107792.2715
274	0.09406046208	227962.5088	0.9912081311	107707.6551
275	0.09402897465	227696.0454	0.9912286725	107627.1456
276	0.09395784044	227498.6795	0.9912438718	107537.2767
277	0.09374507148	227315.9786	0.99125793	107330.8213
278	0.09372351626	226952.2262	0.9912858859	107243.1707
279	0.09346584027	226711.6607	0.9913043497	107017.3053
280	0.09343191244	226538.8229	0.9913176032	106992.363
281	0.09342352457	226418.6164	0.9913268149	106915.6572
282	0.0933427363	226216.4792	0.9913422941	106779.7842
283	0.09333465383	226167.6241	0.9913460333	106726.8021
284	0.0932644068	226102.3168	0.9913510303	106711.7459
285	0.09320256005	225877.9196	0.9913681893	106659.8992
286	0.09316525974	225592.3884	0.9913899984	106498.3985
287	0.09313530357	225445.9476	0.9914011729	106419.499
288	0.0930767959	225161.1285	0.991422886	106340.5599
289	0.09303239394	224985.1806	0.9914362856	106273.7721
290	0.09298602922	224909.9955	0.9914420083	106235.6067
291	0.09291422105	224751.4298	0.9914540711	106159.1783
292	0.09289709064	224609.2722	0.9914648784	106100.6417
293	0.09287046876	224377.2362	0.991482504	105969.6498
294	0.09275446359	224178.2626	0.9914976036	105674.6858
295	0.09258624066	224059.2495	0.9915066288	105661.348
296	0.0925782407	223864.3313	0.9915213999	105507.5104
297	0.09254575699	222833.5556	0.991599299	105424.7343
298	0.09245701769	222594.8114	0.9916172904	105324.2383
299	0.09235232939	222519.0002	0.9916229993	105279.5258
300	0.09231777362	222417.8937	0.9916306102	105221.7777
301	0.09217520022	222273.7682	0.9916414533	105150.3575
302	0.09199912746	221973.8042	0.9916639982	104980.2928
303	0.09199125649	221883.2476	0.9916707983	104933.3301
304	0.09197491276	221730.1971	0.991682285	104906.9186
305	0.09175885484	221338.1696	0.9917116711	104617.8126
306	0.09159742413	220989.646	0.9917377525	104417.734
307	0.09152038599	220852.884	0.9917479757	104304.6719
308	0.09150991137	220751.8546	0.9917555237	104248.4065
309	0.09140954535	220466.263	0.9917768421	104091.9198
310	0.09134198399	220119.8638	0.9918026624	103940.9601
311	0.09134079366	219960.5464	0.9918145242	103938.5289
312	0.09122005414	219677.7587	0.9918355576	103725.8012
313	0.09111210975	219323.2589	0.9918618867	103441.1113
314	0.09107471137	219049.0439	0.9918822238	103315.1787
315	0.09075915388	218892.475	0.9918938243	103094.0266
316	0.09065815501	218567.5706	0.9919178706	102881.365
317	0.0905287584	218367.5693	0.991932655	102769.6613
318	0.0903897679	218206.028	0.9919445865	102628.6542
319	0.09036807876	217971.3398	0.991961905	102517.6521
320	0.09024471718	217708.3701	0.9919812882	102210.3068
321	0.0901217931	217672.3944	0.9919839382	102181.3671
322	0.0900525105	217386.8771	0.9920049534	102002.448
323	0.09000012192	217227.2678	0.9920166893	101943.2602
324	0.08992190345	217025.6886	0.9920314989	101867.0223
325	0.08955571993	216874.1314	0.9920426244	101667.3605
326	0.08955999203	216854.258	0.9920440827	101655.9738
327	0.0894871512	216756.105	0.9920512832	101543.581
328	0.08943456625	216441.0976	0.9920743698	101490.3073
329	0.08936834176	216333.9846	0.9920822124	101414.4203
330	0.08922035163	216000.3351	0.9921066166	101226.8942
331	0.0891575607	215859.7171	0.9921168905	101147.5836
332	0.08910271308	215729.3631	0.9921264086	101001.0429
333	0.08909714074	215441.4607	0.9921474101	100933.2119
334	0.08902774217	215255.5505	0.9921609566	100796.0039
335	0.08898696732	215233.3574	0.992162573	100778.1604
336	0.08893845359	215090.4855	0.9921729745	100680.7947
337	0.0889366956	214864.3269	0.9921894254	100632.4702
338	0.08890648699	214595.2694	0.9922089743	100647.8212
339	0.08875180784	214400.4003	0.9922231176	100474.3209
340	0.0887585378	214307.4951	0.992229856	100476.6157
